"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Predictive Scaling of Elastic Pod Instances for Modern Applications on Public Cloud through Long Short-Term Memory","G. Bharanidharan; S. Jayalakshmi; P. Mayilvahanan","Dept. of Computer Science, VISTAS, Pallavaram, Chennai; Dept. of Computer Science and Engineering, Vel Tech Multi Tech Dr.Rangarajan Dr.Sakunthala Engineering College, Chennai; Dept. of Computer Science, VISTAS, Pallavaram, Chennai",2022 International Conference on Applied Artificial Intelligence and Computing (ICAAIC),"16 Jun 2022","2022","","","1710","1717","In Cloud Computing (CC) environment, container virtualization through Docker engine is bringing the new digital transformation in the enterprise multi-tier application architecture in this modern era. Elastic pod containers attracts and helps the application developers in developing and executing the cloud-native modern applications with key benefits such as light weight, agility to launch, easy deployment through images, consuming less power, minimum cost, less carbon footprints with increased resource utilization and provisioning on public cloud data centers. In existing, reactive auto-scaling mechanism of pod resources is used to add or remove resources manually or rule based for handling static workloads from users and most of the times it may lead to over provision or under provisioning of instances that violates QOS and SLA. In this paper, predictive horizontal scaling of pods utilizing custom metrics with orchestration through Kuberenetes is proposed with LSTM (Long Short-Term Memory) based on Deep Learning (DL) technique. DL is data hungry for right prediction of replicas of a cluster that is needed in advance to run cyclic workloads and to handle the sudden spike of demand by using the cloud large dataset real time traces. Moreover, LSTM model is compared with GRU (Gated Recurrent Unit) and experimental results shows that the results of LSTM prediction has less absolute error rate on comparing with GRU to keep the resource provisioning accuracy better for running the modern workloads seamlessly on public cloud.","","978-1-6654-9710-7","10.1109/ICAAIC53929.2022.9792749","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9792749","Container Virtu aliza tion;Pods;Predictive Scaling;Replicas;Agility;Elasticity;Cloud-native applications","Measurement;Cloud computing;Error analysis;Quality of service;Containers;Predictive models;Logic gates","","","","22","IEEE","16 Jun 2022","","","IEEE","IEEE Conferences"
"PM$^{2}$2VE: Power Metering Model for Virtualization Environments in Cloud Data Centers","Z. Shen; X. Zhang; Z. Liu; Y. Li","School of Computer Science, Nanjing University of Posts and Telecommunications, Nanjing, China; School of Computer Science, Nanjing University of Posts and Telecommunications, Nanjing, China; School of Computer Science, Nanjing University of Posts and Telecommunications, Nanjing, China; Jiangsu Key Laboratory for Big Data Security and Intelligent Processing, School of Computer Science, Nanjing University of Posts and Telecommunications, Nanjing, China",IEEE Transactions on Cloud Computing,"5 Sep 2023","2023","11","3","3126","3138","Virtualization technologies provide solutions for cloud computing. Virtual resource scheduling is a crucial task in data centers, and the power consumption of virtual resources is a critical foundation of virtualization scheduling. Containers are the smallest unit of virtual resource scheduling and migration. Although many practical models for estimating the power consumption of virtual machines (VMs) have been proposed, few power estimation models of containers have been put forth. In this article, we propose a fast-training piecewise regression model based on a decision tree for VM power metering and estimate the power of containers configured on the VM by treating the container as a group of processes on the VM. We select appropriate features from the collected metrics of VMs/containers to help our model fit the nonlinear relationship between power and features well. Besides, we optimize the leaf nodes of the regression tree, realizing the effective power metering of virtualization environments. We evaluate the proposed model on 13 tasks in PARSEC and compare it with several commonly used models in data centers. The experimental results prove the effectiveness of the proposed model, and the estimated power of containers is in line with expectations.","2168-7161","","10.1109/TCC.2023.3262648","National Key Research and Development Program of China(grant numbers:2018YFB1003702); Key University Natural Science Research Project of Jiangsu Province(grant numbers:21KJA520003); National Natural Science Foundation of China(grant numbers:61772284); Graduate Research and Innovation Projects of Jiangsu Province(grant numbers:KYCX20_0760); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10083249","Container;data center;power estimation;virtual machine","Containers;Data centers;Power demand;Estimation;Data models;Virtualization;Servers","","2","","46","IEEE","28 Mar 2023","","","IEEE","IEEE Journals"
"Efficient Microservice Deployment in the Edge-Cloud Networks With Policy-Gradient Reinforcement Learning","K. Afachao; A. M. Abu-Mahfouz; G. P. Hanke","Department of Electrical, Electronic and Computer Engineering, University of Pretoria, Pretoria, South Africa; Department of Electrical, Electronic and Computer Engineering, University of Pretoria, Pretoria, South Africa; Department of Computer Science, City University of Hong Kong, Hong Kong, SAR",IEEE Access,"30 Sep 2024","2024","12","","133110","133124","The rise of user-centric design demands ubiquitous access to infrastructure and applications, facilitated by the Edge-Cloud network and microservices. However, efficiently managing resource allocation while orchestrating microservice placement in such dynamic environments presents a significant challenge. These challenges stem from the limited resources of edge devices, the need for low latency responses, and the potential for performance degradation due to service failures or inefficient deployments. This paper addresses the challenge of microservice placement in Edge-Cloud environments by proposing a novel Reinforcement Learning algorithm called Bi-Generic Advantage Actor-Critic for Microservice Placement Policy. This algorithm’s ability to learn and adapt to the dynamic environment makes it well-suited for optimizing resource allocation and service placement decisions within the Edge-Cloud. We compare this algorithm against three baseline algorithms through simulations on a real-world dataset, evaluating performance metrics such as execution time, network usage, average migration delay, and energy consumption. The results demonstrate the superiority of the proposed method, with an 8% reduction in execution time, translating to faster response times for users. Additionally, it achieves a 4% decrease in network usage and a 2% decrease in energy consumption compared to the best-performing baseline. This research contributes by reproducing the Edge-Cloud environment, applying the novel Bi-Generic Advantage Actor-Critic technique, and demonstrating significant improvements over the state-of-the-art baseline algorithms in microservice placement and resource management within Edge-Cloud environments.","2169-3536","","10.1109/ACCESS.2024.3461149","Telkom, South Africa; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10680533","Edge computing;microservices;network optimization;online placement;scheduling algorithms;reinforcement learning","Microservice architectures;Heuristic algorithms;Reliability;Optimization methods;Resource management;Containers;Edge computing;Scheduling;User centered design;Reinforcement learning","","6","","32","CCBYNCND","16 Sep 2024","","","IEEE","IEEE Journals"
"Container Image Similarity-Aware Resource Provisioning for Serverless Edge Computing","A. Zhou; S. Li; X. Ma; Y. Zhang; S. Wang","State Key Laboratory of Network and Switching Technology, Beijing University of Posts and Telecommunications, Beijing, China; State Key Laboratory of Network and Switching Technology, Beijing University of Posts and Telecommunications, Beijing, China; State Key Laboratory of Network and Switching Technology, Beijing University of Posts and Telecommunications, Beijing, China; State Key Laboratory of Network and Switching Technology, Beijing University of Posts and Telecommunications, Beijing, China; State Key Laboratory of Network and Switching Technology, Beijing University of Posts and Telecommunications, Beijing, China",2023 IEEE International Conference on Web Services (ICWS),"19 Sep 2023","2023","","","278","288","Container-enabled serverless computing has become a widely adopted approach for resource provisioning in the edge cloud. However, traffic incurred by container image pulling heavily burdens the already congested back-haul network. To relieve the problem, we do an analysis on Docker Hub, and find that instance deployment strategy has a significant impact on the back-haul traffic due to the varying similarity levels of different images. We incorporate this feature into task offloading decision and resource provisioning, and formulate the problem with a mixed integer non-linear programming (MINLP) problem. To address the challenges arising from the coupling and contradiction of instance deployment, image pulling, offloading decision, and resource allocation, we employ multi-agent deep reinforcement learning to decompose the problem into several simpler sub-problems, and design an algorithm for each sub-problem individually by exploiting convex optimization and fractional programming techniques. Simulations are conducted to validate the effectiveness of the proposed algorithm. The experiment results illustrate that our algorithm outperforms current notable solutions and improves the global utility by 13%–74%.","2836-3868","979-8-3503-0485-5","10.1109/ICWS60048.2023.00047","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10248269","Edge computing;Offloading;Container image;Resource provisioning;Instance deployment.","Deep learning;Web services;Image edge detection;Computational modeling;Serverless computing;Reinforcement learning;Programming","","2","","35","IEEE","19 Sep 2023","","","IEEE","IEEE Conferences"
"Scheduling Latency-Sensitive Tasks in the Cloud Continuum with Hierarchical Reinforcement Learning","D. Monaco; A. Sacco; C. Casetti; G. Marchetto","Department of Control and Computer Engineering, Politecnico di Torino, Italy; Department of Control and Computer Engineering, Politecnico di Torino, Italy; Department of Control and Computer Engineering, Politecnico di Torino, Italy; Department of Control and Computer Engineering, Politecnico di Torino, Italy",NOMS 2025-2025 IEEE Network Operations and Management Symposium,"15 Jul 2025","2025","","","01","09","Service orchestrators such as Kubernetes are widely employed to automate the handling and scheduling of workloads, which involves determining the most suitable physical node on which to start a new task. The expanding application of Machine Learning (ML) algorithms, and in particular Reinforcement Learning (RL), opens up new development opportunities to make runtime decisions that can account for multiple metrics and varying network conditions. However, current RL-based solutions are unable to fit the growing complexity of distributed applications and infrastructure, characterized by a more heterogeneous resource continuum and the increasing need to minimize energy consumption while satisfying tasks' requirements. To fill this gap, we propose RL-ICE as an innovative scheduler that can work in such a cloud continuum by leveraging a multi-cluster and hierarchical RL to satisfy both user Quality of Experience (QoE) metrics and tenant's costs. We test RL-ICE in a simulated large-scale environment and in a real-world Kubernetes setup. In both scenarios, our solution effectively balances user-perceived latency, energy consumption, and deployment costs. Additionally, RL-ICE can dynamically respond to network failures by migrating microservices to maintain efficient management of resources.","2374-9709","979-8-3315-3163-8","10.1109/NOMS57970.2025.11073729","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11073729","Kubernetes;Scheduling;Reinforcement Learning","Measurement;Energy consumption;Costs;Runtime;Machine learning algorithms;Processor scheduling;Microservice architectures;Reinforcement learning;Quality of experience;Optimization","","","","41","IEEE","15 Jul 2025","","","IEEE","IEEE Conferences"
"Kube-Knots: Resource Harvesting through Dynamic Container Orchestration in GPU-based Datacenters","P. Thinakaran; J. R. Gunasekaran; B. Sharma; M. T. Kandemir; C. R. Das","The Pennsylvania State University; The Pennsylvania State University; Facebook, Inc.; The Pennsylvania State University; The Pennsylvania State University",2019 IEEE International Conference on Cluster Computing (CLUSTER),"7 Nov 2019","2019","","","1","13","Compute heterogeneity is increasingly gaining prominence in modern datacenters due to the addition of accelerators like GPUs and FPGAs. We observe that datacenter schedulers are agnostic of these emerging accelerators, especially their resource utilization footprints, and thus, not well equipped to dynamically provision them based on the application needs. We observe that the state-of-the-art datacenter schedulers fail to provide fine-grained resource guarantees for latency-sensitive tasks that are GPU-bound. Specifically for GPUs, this results in resource fragmentation and interference leading to poor utilization of allocated GPU resources. Furthermore, GPUs exhibit highly linear energy efficiency with respect to utilization and hence proactive management of these resources is essential to keep the operational costs low while ensuring the end-to-end Quality of Service (QoS) in case of user-facing queries.Towards addressing the GPU orchestration problem, we build Knots, a GPU-aware resource orchestration layer and integrate it with the Kubernetes container orchestrator to build Kube- Knots. Kube-Knots can dynamically harvest spare compute cycles through dynamic container orchestration enabling co-location of latency-critical and batch workloads together while improving the overall resource utilization. We design and evaluate two GPU-based scheduling techniques to schedule datacenter-scale workloads through Kube-Knots on a ten node GPU cluster. Our proposed Correlation Based Prediction (CBP) and Peak Prediction (PP) schemes together improves both average and 99th percentile cluster-wide GPU utilization by up to 80% in case of HPC workloads. In addition, CBP+PP improves the average job completion times (JCT) of deep learning workloads by up to 36% when compared to state-of-the-art schedulers. This leads to 33% cluster-wide energy savings on an average for three different workloads compared to state-of-the-art GPU-agnostic schedulers. Further, the proposed PP scheduler guarantees the end-to-end QoS for latency-critical queries by reducing QoS violations by up to 53% when compared to state-of-the-art GPU schedulers.","2168-9253","978-1-7281-4734-5","10.1109/CLUSTER.2019.8891040","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8891040","","Graphics processing units;Containers;Measurement;Task analysis;Quality of service;Resource management;Correlation","","27","","64","IEEE","7 Nov 2019","","","IEEE","IEEE Conferences"
"Towards Prediction of Power Consumption of Virtual Machines for Varying Loads","H. A. Salam; F. Davoli; A. Carrega; A. Timm-Giel","DITEN - University of Genoa, Genoa, Italy; DITEN - University of Genoa, Genoa, Italy; CNIT - S3ITI Lab, Genoa, Italy; Hamburg University of Technology, Institute of Communication Networks, Hamburg, Germany",2018 28th International Telecommunication Networks and Applications Conference (ITNAC),"17 Jan 2019","2018","","","1","6","Power management and load balancing in data centers are becoming critical with the growing size of the infrastructure. In front of an increasing number of cloud networks, virtual machines (VMs) and containers, smart management and control decisions are required, in order to instantiate or mobilize these virtual components. As regards reducing power consumption, it is also essential to consolidate virtual resources on the minimum possible number of servers compatible with performance requirements. In such a dynamic scenario, estimating the power that can be ascribed to a specific virtual component and its relation with the offered workload could be beneficial for optimized resource scheduling. Predicting the power consumption caused by a specific virtual component is however challenging. In this paper, two power models that relate a VM workload with the fraction of power consumed attributable to the VM are developed based on power profiling of a server. The accuracy of the proposed models is improved approximately by 3% compared to other existing models.","2474-154X","978-1-5386-7177-1","10.1109/ATNAC.2018.8615319","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8615319","Virtual machine;power modeling;regression model;power profiling","Servers;Load modeling;Virtual machining;Power measurement;Predictive models;Power demand;Data models","","5","","18","IEEE","17 Jan 2019","","","IEEE","IEEE Conferences"
"MO-DDPG: An Affinity and Anti-Affinity-Based Container Service Migration Strategy in MEC","Q. Deng; S. Zhang; X. Yang; Q. Zuo; Z. Wang; S. Long","School of Computer Science and Engineering and the School of Software, Guangxi Normal University, Guilin, China; School of Computer Science and Engineering and the School of Software, Guangxi Normal University, Guilin, China; School of Computer Science and Engineering and the School of Software, Guangxi Normal University, Guilin, China; School of Computer Science and Engineering and the School of Software, Guangxi Normal University, Guilin, China; College of Information Science and Technology, Jinan University, Guangzhou, China; College of Information Science and Technology, Jinan University, Guangzhou, China",2024 IEEE International Conference on High Performance Computing and Communications (HPCC),"23 Jul 2025","2024","","","618","626","The time-varying characteristics of user mobility, node and services connections, and edge resources in Mobile Edge Computing (MEC) scenarios pose significant challenges for designing efficient service migration strategies to enhance system performance. This paper introduces and quantifies affinity and anti-affinity metrics to evaluate the discrepancies between the resource requirements of containers and the available resources of nodes, as well as the competition level of computing resources during the migration of containers among different nodes within the Kubernetes cluster. To adapt to the complexity of the edge environment, such metrics are integrated into the reward update mechanism of the Deep Deterministic Policy Gradient (DDPG) reinforcement algorithm. Besides, the Multi-Objective Evolutionary Algorithm (MOEA) is employed to dynamically adjust the weights of various reward objectives, forming a self-adaptive online container migration strategy named MO-DDPG. Finally, we construct a real-world heterogeneous Kubernetes edge node cluster in experiments and use a public dataset to simulate multi-modal connections between mobile user trajectories and service demands. Compared to the greedy and heuristic strategies that consider only single metrics, our experiment results show that the proposed strategy improves energy efficiency and reduces latency by 21.30% and 29.49%, respectively. Moreover, the MO-DDPG improves resource utilization of the node cluster compared to the default Kubernetes scheduler.","","979-8-3315-4046-3","10.1109/HPCC64274.2024.00088","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11083178","Mobile Edge Computing;service migration;Kubernetes;DDPG;MOEA;resource utilization","Measurement;Multi-access edge computing;System performance;High performance computing;Heuristic algorithms;Focusing;Containers;Trajectory;Resource management;Time-varying systems","","","","32","IEEE","23 Jul 2025","","","IEEE","IEEE Conferences"
"A Monitoring, Observability and Analytics Framework to Improve the Sustainability of B5G Technologies","M. Akbari; R. Bolla; R. Bruschi; F. Davoli; C. Lombardo; B. Siccardi","DITEN, University of Genoa, Genoa, Italy; DITEN, S2N National Lab, University of Genoa, CNIT, Genoa, Italy; DITEN, S2N National Lab, University of Genoa, CNIT, Genoa, Italy; DITEN, S2N National Lab, University of Genoa, CNIT, Genoa, Italy; DITEN, S2N National Lab, University of Genoa, CNIT, Genoa, Italy; DITEN, University of Genoa, Genoa, Italy",2024 IEEE International Conference on Communications Workshops (ICC Workshops),"12 Aug 2024","2024","","","969","975","As mobile generations advance, blurring the lines between physical and digital worlds, the deployment of ultra-dense networks poses challenges in resource allocation and energy efficiency. This article revolves around the environmental sustainability of Fifth Generation (5G) and Beyond 5G (B5G) mobile networks as cloud-native technologies, highlighting the use phase. It aims to represent a monitoring, observability and analytical framework to devise a feature selection methodology within well-known monitoring tools, aligning with environmental sustainability objectives. Notable open-source monitoring applications (e.g., Kepler and Scaphandre) are employed to collect data on resource utilization and energy consumption for containers and physical servers. Dependence criteria indexes, Hilbert-Schmidt Independence Criterion (HSIC) and Pearson, identify interdependencies among timeseries from different tools. Addressing challenges, the paper resolves inconsistent dataset lengths, highlights the Pearson-HSIC trade-off, and underscores the need for alignment in feature selection with compatibility to resource utilization. Key findings include Scaphandre's underestimation of memory impact on power consumption, Kepler's limitations in host metrics. Finally, the results enable the development of an anomaly detection mechanism.","2694-2941","979-8-3503-0405-3","10.1109/ICCWorkshops59551.2024.10615948","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10615948","B5G;monitoring;observability;energy efficiency;feature reduction;anomaly detection","Measurement;Power demand;Memory management;Containers;Feature extraction;Resource management;Servers","","5","","31","IEEE","12 Aug 2024","","","IEEE","IEEE Conferences"
"Multi-Application Hierarchical Autoscaling for Kubernetes Edge Clusters","I. Dimolitsas; D. Spatharakis; D. Dechouniotis; A. Zafeiropoulos; S. Papavassiliou","School of Electrical and Computer Engineering, National Technical University of Athens, Athens, Greece; School of Electrical and Computer Engineering, National Technical University of Athens, Athens, Greece; School of Electrical and Computer Engineering, National Technical University of Athens, Athens, Greece; School of Electrical and Computer Engineering, National Technical University of Athens, Athens, Greece; School of Electrical and Computer Engineering, National Technical University of Athens, Athens, Greece",2023 IEEE International Conference on Smart Computing (SMARTCOMP),"7 Aug 2023","2023","","","291","296","The dynamic workload demands of smart city applications hosted on edge infrastructures require the development of advanced scaling mechanisms. Recent studies proposed single-application autoscaling solutions based on various technical approaches. However, for edge infrastructures with limited resource availability, it is essential to simultaneously manage heterogeneous application requirements, aiming at optimal resource allocation and minimal operational costs. This study introduces a multi-application hierarchical autoscaling framework for Kubernetes Edge Clusters. An application-based mechanism nominates the best applications’ deployments based on workload prediction and several criteria that guarantee the application’s performance while minimizing the infrastructure provider’s cost. For the joint application orchestration, an aggregation mechanism composes the candidate scaling solutions for the cluster. Then, a cluster autoscaling mechanism, based on the Analytic Hierarchy Process, undertakes the cluster’s scaling decision to optimize the resource allocation and energy consumption of the cluster. The evaluation illustrates the benefits of the proposed scaling strategy, achieving significant improvement in the average allocated resources and energy consumption compared to single-application approaches.","2693-8340","979-8-3503-2281-1","10.1109/SMARTCOMP58114.2023.00074","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10207647","","Energy consumption;Costs;Smart cities;Analytic hierarchy process;Resource management","","4","","18","IEEE","7 Aug 2023","","","IEEE","IEEE Conferences"
"Temporal Knowledge Graph Construction for microservice-based digital power applications","J. Zhang; Y. Wang; Z. Liang; M. Zheng; L. Xie; J. Cui","Information Center Guangdong Power Grid, Guangzhou, China; Information Center Guangdong Power Grid, Guangzhou, China; Information Center Guangdong Power Grid, Guangzhou, China; Institute of Software Chinese Academy of Sciences, Beijing, China; Institute of Software Chinese Academy of Sciences, Beijing, China; Institute of Software Chinese Academy of Sciences, Beijing, China","2025 8th International Conference on Energy, Electrical and Power Engineering (CEEPE)","18 Jun 2025","2025","","","220","226","Modern digital power systems increasingly adopt microservices to enhance flexibility and scalability. However, in cloud-native environments, dynamic interactions across the microservices, Kubernetes, and physical machine layers complicate system monitoring and fault diagnosis. Key challenges include real-time high-frequency data collection, semantic integration of heterogeneous data, and incremental updates to knowledge graphs. This paper proposes constructing a multi-dimensional temporal knowledge graph by collecting logs, metrics, and traces from power systems and employing semantic models to unify data entities and relationships. A real-time incremental update mechanism significantly improves the efficiency of online monitoring and fault diagnosis in large-scale power systems.","","979-8-3315-2184-4","10.1109/CEEPE64987.2025.11033891","National Natural Science Foundation of China; Chinese Academy of Sciences; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11033891","Digital power systems;Microservices;Temporal knowledge graph;Cloud-native;Real-time monitoring","Fault diagnosis;Measurement;Power engineering;Scalability;Semantics;Power system dynamics;Microservice architectures;Knowledge graphs;Real-time systems;Monitoring","","","","12","IEEE","18 Jun 2025","","","IEEE","IEEE Conferences"
"A Comprehensive Modeling and Scheduling Approach for Allocating Distributed Multi-Robot Software to the Edge/Cloud","Y. Zhang; F. Mirus; F. Pasch; K. -U. Scholl; C. Wurll; B. Hein","Karlsruhe University of Applied Sciences, Karlsruhe, Germany; Intel Labs, Karlsruhe, Germany; Intel Labs, Karlsruhe, Germany; Intel Labs, Karlsruhe, Germany; Karlsruhe University of Applied Sciences, Karlsruhe, Germany; Karlsruhe University of Applied Sciences, Karlsruhe, Germany",2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"25 Dec 2024","2024","","","5799","5806","Offloading software modules to the edge/cloud can enhance a robot’s capabilities by leveraging massive computing power. However, determining which software module should be offloaded and scheduled to which robot/edge/cloud node is a challenging task, particularly for robot fleets with diverse tasks. In this paper, we tackle the software scheduling problem and introduce a taxonomy to categorize software modules and classify their applicability and requirements for offloading. Additionally, by using prior measurements, we model the compute cluster and formalize software scheduling as a multi-objective optimization problem which we tackle with a genetic algorithm. To evaluate our approach with a challenging setup, we build a mobile manipulation task using open-source frameworks and libraries in the Robot Operating System (ROS2) community in simulation as well as a mildly simplified real-world variant. Our evaluation shows significant improvements compared to the built-in scheduler of Kubernetes (K8s) regarding robotic specific metrics such as the rate of missed cycle time in both simulated and real-world experiments.","2153-0866","979-8-3503-7770-5","10.1109/IROS58592.2024.10802443","Ministry of Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10802443","","Costs;Processor scheduling;Computational modeling;Taxonomy;Software;Time measurement;Software measurement;Robots;Optimization;Genetic algorithms","","1","","39","IEEE","25 Dec 2024","","","IEEE","IEEE Conferences"
"Directives for Function Offloading in 5G Networks Based on a Performance Characteristics Analysis","F. Dettinger; M. Weiß; M. Weyrich; D. Baumann; M. Sommer","Institute of Industrial Automation and Software (IAS), University of Stuttgart, Pfaffenwaldring 47, Stuttgart, Germany; Institute of Industrial Automation and Software (IAS), University of Stuttgart, Pfaffenwaldring 47, Stuttgart, Germany; Institute of Industrial Automation and Software (IAS), University of Stuttgart, Pfaffenwaldring 47, Stuttgart, Germany; Institut fuer Technik der Informationsverarbeitung (ITIV), Karlsruhe Institute of Technology (KIT), Engesserstr. 5, Karlsruhe, Germany; Institut fuer Technik der Informationsverarbeitung (ITIV), Karlsruhe Institute of Technology (KIT), Engesserstr. 5, Karlsruhe, Germany",2025 IEEE International Automated Vehicle Validation Conference (IAVVC),"11 Nov 2025","2025","","","1","8","Cloud-based offloading helps address energy consumption and performance challenges in executing resourceintensive vehicle algorithms. Utilizing 5G, with its low latency and high bandwidth, enables seamless vehicle-to-cloud integration. Currently, only non-standalone 5G is publicly available, and realworld applications remain underexplored compared to theoretical studies. This paper evaluates 5G non-standalone networks for cloud execution of vehicle functions, focusing on latency, Round Trip Time, and packet delivery. Tests used two AI-based algorithms—emotion recognition and object recognition—along an 8.8 km route in Baden-Württemberg, Germany, encompassing urban, rural, and forested areas. Two platforms were analyzed: a cloudlet in Frankfurt and a cloud in Mannheim, employing various deployment strategies like conventional applications and containerized and container-orchestrated setups. Key findings highlight an average signal quality of 84 %, with no connectivity interruptions despite minor drops in built-up areas. Packet analysis revealed a Packet Error Rate below 0.1 % for both algorithms. Transfer times varied significantly depending on the geographical location and the backend servers' network connections, while processing times were mainly influenced by the computation hardware in use. Additionally, cloud offloading seems only be a suitable option, when a round trip time of more than 150 ms is possible.","","979-8-3315-2526-2","10.1109/IAVVC61942.2025.11219471","Chips Joint Undertaking; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11219471","5G non-stand alone;Bandwidth;Cloud Offloading;Function Offloading;Latency;Performance Characteristics Analysis","Visualization;5G mobile communication;Current measurement;Bandwidth;Routing;Performance metrics;Hardware;Time measurement;Servers;Long Term Evolution","","","","31","IEEE","11 Nov 2025","","","IEEE","IEEE Conferences"
"Analysis of Building Model Forecasts using Autonomous HVAC Optimization System for Residential Neighborhood","V. Lebakula; H. Zandi; C. Winstead; E. Tsybina; T. Kuruganti; J. Hill","Geospatial Science and Human Security Division, Oak Ridge National Laboratory, Oak Ridge, USA; Computational Sciences and Engineering Division, Oak Ridge National Laboratory, Oak Ridge, USA; Computational Sciences and Engineering Division, Oak Ridge National Laboratory, Oak Ridge, USA; Energy Science and Technology Directorate, Oak Ridge National Laboratory, Oak Ridge, USA; Computational Sciences and Engineering Division, Oak Ridge National Laboratory, Oak Ridge, USA; Southern Company, Birmingham, USA",2023 IEEE Energy Conversion Congress and Exposition (ECCE),"29 Dec 2023","2023","","","1218","1224","Heating, ventilation, and air conditioning (HVAC) systems account for the highest share of home energy consumption in the United States. Optimized HVAC control can provide thermal improved comfort to the occupants, improve energy efficiency, reduce energy cost, and support grid services. In this paper, we discuss a multi-agent and cloud-based software framework that has been deployed in occupied residential neighborhood. This system enables automatic data collection, learning, optimization, and dispatches signals to neighborhood devices. HVAC optimization is based on model predictive control (MPC). Since the operational performance of MPC depends on model forecasting accuracy, it is crucial to evaluate the model continuously and modify or retrain it as necessary. In this research, we developed an automated workflow to evaluate the performance of temperature and power forecasts based on measured data in the real world. This will provide researchers with a deeper understanding of the model and how it can be improved.","2329-3748","979-8-3503-1644-5","10.1109/ECCE53617.2023.10362041","Battelle; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10362041","MPC;HVAC;docker;zone level analysis;residential neighborhood","Temperature measurement;Performance evaluation;Analytical models;HVAC;Clouds;Buildings;Predictive models","","5","","21","IEEE","29 Dec 2023","","","IEEE","IEEE Conferences"
"Towards a Framework for Monitoring and Analyzing High Performance Computing Environments Using Kubernetes and Prometheus","N. Sukhija; E. Bautista","Department of Computer Science, Slippery Rock University of Pennsylvania, USA; Lawrence Berkeley National Laboratory, NERSC, Berkeley, USA","2019 IEEE SmartWorld, Ubiquitous Intelligence & Computing, Advanced & Trusted Computing, Scalable Computing & Communications, Cloud & Big Data Computing, Internet of People and Smart City Innovation (SmartWorld/SCALCOM/UIC/ATC/CBDCom/IOP/SCI)","9 Apr 2020","2019","","","257","262","The challenge of monitoring a computational center grows as the center deploys larger and more diverse systems. As system size grows, it becomes harder to discern the problem from the noise. Staff often experience alert fatigue, an occurrence when so many alerts come in that the actual problem is obscured by false alarms or by alarms for issues that are symptoms of the core problem. The National Energy Research Scientific Computing Center (NERSC) at the Lawrence Berkeley National Laboratory (LBNL) has begun to address this issue by ensuring that most alerts are actionable and that multiple alerts for common problems, such as node outages, do not arise. However, more work is needed for these solutions to be extensible to emerging extreme-scale systems. In this paper, we propose a framework for proactively monitoring and managing data center operations, capable of scaling to accommodate the heterogeneity and complexity of next-generation systems. We describe a new architecture for the Operations Monitoring and Notification Infrastructure (OMNI) at NERSC that enables proactive monitoring and management at scale by integrating state-of-the-art technology, such as Kubernetes, Prometheus, Grafana, and other predictive platforms with data from metrics, sensors, and analytics engines. The system will support the operation of the upcoming Perlmutter HPC system, to be delivered in late 2020, as well as NERSC's successive computational system deployments. This comprehensive infrastructure will assist in centrally orchestrating services and deployments, automatically analyzing streaming data, correlating multiple-sourced data, and thresholding alerts to identify core issues from a single view.","","978-1-7281-4034-6","10.1109/SmartWorld-UIC-ATC-SCALCOM-IOP-SCI.2019.00087","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9060302","HPC;Data Monitoring;Kubernetes;Prometheus;Grafana;Predictive;Visualization","Monitoring;Data centers;Tools;Market research;Measurement;Organizations;Hardware","","40","","28","IEEE","9 Apr 2020","","","IEEE","IEEE Conferences"
