"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Moocheet, N.; Jaumard, B.; Thibault, P.; Eleftheriadis, L.","Moocheet, Nalveer (58838217200); Jaumard, Brigitte (56847096800); Thibault, Pierre (58838971700); Eleftheriadis, Lackis (57837398100)","58838217200; 56847096800; 58838971700; 57837398100","A Sensor Predictive Model for Power Consumption using Machine Learning","2023","","","","","238","246","2","10.1109/CloudNet59005.2023.10490084","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183024045&doi=10.1109%2FCloudNet59005.2023.10490084&partnerID=40&md5=56548ec979c5c0892f158a35e05515a9","Reducing the power consumption of computing devices remains a challenge for the data center industry. In 2022, it represents approximately 2% of global electricity consumption and 1% of global greenhouse gas emissions. In addition, data centers must integrate the 5G and B5G challenges into their strategies, by increasing the computing resources available to face higher-quality service constraints. Indeed, 5G and B5G future networks are increasingly software-oriented and therefore, rely heavily on cloud computing to process large amounts of data from multiple sources in real-time.Several research works on energy management have been proposed to ensure a reduction of the energy consumed by the various components of a data center (e.g., software, computing devices, or cooling systems). However, to optimize the energy consumption of computing devices (e.g., virtual machines/container operations), it is essential to have an accurate model for predicting power consumption. Thus, we propose in this study a new sensor predictive model to predict the dynamic power consumption of cloud computing devices with high accuracy.Our proposal takes advantage of the various sensors that are now embedded in physical machines, or more generally in cloud server machines, as well as Performance Monitoring Counters to implement a Machine Learning power prediction model.The performance evaluation results confirm that our power consumption prediction models outperform previous literature models in terms of accuracy. Indeed, our best model achieves a R2 score of 93.6% which is higher than the compared baseline model by 21.1%. © 2023 IEEE.","Machine Learning; Performance Monitoring Counter; Power Consumption; Prediction; Sensor","5G mobile communication systems; Cloud computing; Computing power; Cooling systems; Forecasting; Gas emissions; Green computing; Greenhouse gases; Machine learning; Cloud-computing; Computing devices; Datacenter; Electricity-consumption; Greenhouse gas emissions; Machine-learning; Performance monitoring counter; Performance-monitoring; Prediction modelling; Predictive models; Electric power utilization","Conference paper","Final","","Scopus","2-s2.0-85183024045"
"Fe, I.; Nguyen, T.A.; Soares, A.B.; Son, S.; Choi, E.; Min, D.; Lee, J.-W.; Silva, F.A.","Fe, Iure De Sousa (57194271358); Nguyen, Tuan Anh (56433780500); Soares, Andrec B. (58784995600); Son, Seokho (55436728000); Choi, Eunmi (8969714200); Min, Dugki (7201670327); Lee, Jaewoo (57203409283); Silva, Francisco Airton (55817259800)","57194271358; 56433780500; 58784995600; 55436728000; 8969714200; 7201670327; 57203409283; 55817259800","Model-Driven Dependability and Power Consumption Quantification of Kubernetes-Based Cloud-Fog Continuum","2023","IEEE Access","11","","","140826","140852","3","10.1109/ACCESS.2023.3340195","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179793315&doi=10.1109%2FACCESS.2023.3340195&partnerID=40&md5=d8dd33abcbadcaebdf6daaab812a0221","System dependability is pivotal for the reliable execution of designated computing functions. With the emergence of cloud-fog computing and microservices architectures, new challenges and opportunities arise in evaluating system dependability. Enhancing dependability in microservices often involves component replication, potentially increasing energy costs. Thus, discerning optimal redundancy strategies and understanding their energy implications is crucial for both cost efficiency and ecological sustainability. This paper presents a model-driven approach to evaluate the dependability and energy consumption of cloud-fog systems, utilizing Kubernetes, a container application orchestration platform. The developed model considers various determinants affecting system dependability, including hardware and software reliability, resource accessibility, and support personnel availability. Empirical studies validate the model's effectiveness, demonstrating a 22.33% increase in system availability with only a 1.33% rise in energy consumption. Moreover, this methodology provides a structured framework for understanding cloud-fog system dependability, serves as a reference for comparing dependability across different systems, and aids in resource allocation optimization. This research significantly contributes to the efforts to enhance cloud-fog system dependability. © 2013 IEEE.","Cloud-fog continuum; dependability; Kubernetes; stochastic modeling","Computing power; Edge computing; Electric power utilization; Fog; Fog computing; Green computing; Software reliability; Stochastic models; Stochastic systems; Cloud-computing; Cloud-fog continuum; Dependability; Energy-consumption; Kubernetes; Modeling; Power demands; Stochastic-modeling; System dependability; Random processes","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85179793315"
"","","","22nd International Scientific and Practical Conference Information and Communication Technologies and Sustainable Development, ICT&SD 2022","2023","Lecture Notes in Networks and Systems","809 LNNS","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177815281&partnerID=40&md5=8a8557218df883ba180e1ae8c83b9efd","The proceedings contain 26 papers. The special focus in this conference is on Information and Communication Technologies and Sustainable Development. The topics include: Network Monitoring Index in the Information Security Management System of Critical Information Infrastructure Objects; the Chézy Roughness Coefficient Computing Using an Artificial Neural Network to Support the Mathematical Modelling of River Flows; genomic Data Machined: The Random Forest Algorithm for Discovering Breast Cancer Biomarkers; features of Message Transport Service in Automated Special-Purpose Systems; Impact of LoRaWAN Operational Parameters on Energy Efficiency and Ways to Improve It; enhancing Application Layer Multicast Using Multi-objective Optimization Techniques; a New Approach to Interpolation and Approximation of Boundary Trajectories of Electron Beams for Realizing Cloud Computing Using Root-Polynomial Functions; cloud-Based Technologies Google Earth Engine for Monitoring Surface Deformation of the Solotvyno Agglomeration; enhancing Resource Availability: Indicators and Strategies for Optimizing the Kubernetes Network; study of Energy Efficient Technologies for Workload Processing in Data Centers; IT Platform for the Formation of Digital Duplicates for Museum Exhibits; notation System for Comparing and Synthesis of Intelligent Key Phrase Extraction Methods for Ontological Models in Information Systems; sustainable Development in the Global Information Space; a Research Method of Software-Defined Networks Asymptotic Properties with Markov Intrusion of Randomness; cloud Platforms and Technologies for Big Satellite Data Processing; method Radio Resource Allocation in Cognitive Radio Network; mathematical Model for Evaluation of Interference Dispersion for 5G Mobile Communication Systems; selecting a Polynomial for Estimating the Motion Parameters of a Permanently Maneuvering Group of Unmanned Aerial Vehicles; preface.","","","Conference review","Final","","Scopus","2-s2.0-85177815281"
"Shivam; Kumar, D.","Shivam (59730536100); Kumar, Dinesh (57202810166)","59730536100; 57202810166","Containerized Deployment of Microservices in Cloud Computing","2023","","","","","35","59","1","10.1201/9781003438588-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174770374&doi=10.1201%2F9781003438588-3&partnerID=40&md5=b66865a66ccec057778b0251c9ccbf4e","Containerization results in the proliferation of several benefits to cloud computing due to its speed, scalability, and security features. Additionally, the growing popularity of containerizing sophisticated applications (such as Netflix, Spotify, and the Times of India) and deploying them over the cloud has aided businesses in the development, testing, management, deployment, and security of their software and applications. This increase in popularity, embarked demand for research in the areas of efficiency and optimization of metrics such as resources (CPU, memory, storage, and network), power consumption, and cost, to make the deployment more feasible and efficient in developing and scaling services of the applications. This work proposed heuristics and PSO-based approach to optimize microservices-to-container placement and container-to-server placement, respectively. The proposed methods efficiently utilize resources and power, thus providing cost efficiency to the deployment and auto-scaling of the microservices of an application. More specifically, dynamic bin packing and Particle-swarm optimization techniques are adopted as optimization algorithms for minimizing resource wastage and power consumption. The proposed algorithms are then compared with state-of-the-art and the results verify the effectiveness of the proposed work. © 2024 selection and editorial matter, Mohammad Sajid, Anil Kumar Sagar, Jagendra Singh, Osamah Ibrahim Khalaf and Mukesh Prasad; individual chapters, the contributors.","","","Book chapter","Final","","Scopus","2-s2.0-85174770374"
"Helali, L.; Omri, M.N.","Helali, Leila (57191430358); Omri, Mohamed Nazih (6604032258)","57191430358; 6604032258","Intelligent and compliant dynamic software license consolidation in cloud environment","2022","Computing","104","12","","2749","2783","2","10.1007/s00607-022-01106-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134723471&doi=10.1007%2Fs00607-022-01106-0&partnerID=40&md5=33f8a26c4e09808ec30eafabac147092","Based on the virtualization technology and pushed by the softwarization paradigm and the actual demand for services and resources, commercial cloud data centers know an unprecedented expansion. The systematic presence of software and the services generated enabled the development of the already dense application expenses. This causes, not only a cost explosion, especially when proprietary solutions protected by licenses are in hand, but also, represents a critical need in terms of software asset and resource management at the SaaS level. In addition to these costs, inefficient resource utilization, and the resulting energy represent an important part of the operational expenditure of data centers and are still a hot topic despite the consolidation initiatives put in place. The main objective of the consolidation service is to maximize resource exploitation while minimizing energy consumption and costs, among others. Even so, we have noticed that the reported literature doesn’t treat license management in the cloud environment as a whole, especially, from the resource management perspective and the overwhelming majority of the consolidation work focuses on resource optimization at the IaaS level. Therefore, we propose a reinforcement learning-based scheme that allows efficient use of resources and optimizes costs, energy consumption, and resource wastage, while remaining compliant. The experimental results show that our intelligent consolidator outperforms the baseline approaches according to the evaluation metrics used regardless of the resource heterogeneity and the data center dimensionality. © 2022, The Author(s), under exclusive licence to Springer-Verlag GmbH Austria, part of Springer Nature.","Artificial intelligence; Cloud data centers; Compliance; Containerization; Energy-efficiency; Reinforcement Learning; Resource management","Application programs; Energy efficiency; Energy utilization; Environmental management; Green computing; Information management; Learning systems; Natural resources management; Resource allocation; Cloud data centers; Cloud environments; Compliance; Containerization; Datacenter; Dynamic softwares; Reinforcement learnings; Resource management; Software license; Virtualization technologies; Reinforcement learning","Article","Final","All Open Access; Bronze Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85134723471"
"Helali, L.; Omri, M.N.","Helali, Leila (57191430358); Omri, Mohamed Nazih (6604032258)","57191430358; 6604032258","Software License Consolidation and Resource Optimization in Container-based Virtualized Data Centers","2022","Journal of Grid Computing","20","2","13","","","9","10.1007/s10723-022-09602-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128605954&doi=10.1007%2Fs10723-022-09602-5&partnerID=40&md5=d567a46724ae55665947f26c67f2451c","Over the past two years, the pandemic-induced demand for resources and services has accelerated. The paradigm of softwarization as well as webization, services, and network virtualization have caused disruptive changes within cloudified environments. Software services are the most crucial part of the evolution of these environments. So far, proprietary solutions are particularly emphasized owing to the current economic climate, such as the numerous cloud services that depend on commercial software. Thus, the ubiquity of this kind of software in the cloud creates a new dimension for software license (SL) optimization. For a prosperous company, optimal use of SL resources remains a capital and essential criterion. Managing these resources, virtualized hardware resources, energy, and costs generated in the cloud is a recent challenge. Although many consolidation strategies have been developed in the area of resource management to optimize standard resources and the resulting energy consumption, this problem remains topical despite optimization efforts. Indeed, appropriate schemes and models for the dynamic consolidation of resources and the optimization of data center states have always been under constant investigation and extensive study and development at the infrastructure level. But, so far, the software service level lacks models and algorithms that offer dynamic optimization of resource allocation and workload consolidation, especially when proprietary solutions are in hand. In this article, we offer suitable heuristics for dynamic software license consolidation (DSLC) and optimization of resources. These tend to reduce costs within a cloud data center and minimize overall power consumption. Our solutions allow us to optimize the monetary costs of the users and offer more flexibility to reduce the infrastructure costs. The experimental studies carried out from small to relatively big data centers, in both homogeneous and heterogeneous resource scenarios, show the efficiency of our solutions. Thus, we recorded a rate of 71.4% energy savings, 79.91% total cost savings, 80.25% license cost, and 76.5% virtual machine (VM) cost. We also highlighted a rate of 78% of deactivated physical machine (PMs) and 76.5% of released VMs. © 2022, The Author(s), under exclusive licence to Springer Nature B.V.","Cloud computing; Commercial software; Consolidation; Containerization; Energy efficiency; License optimization; Resource management; Virtualization","Cloud computing; Containers; Copyrights; Cost reduction; Economics; Energy efficiency; Energy utilization; Green computing; Information management; Natural resources management; Optimization; Virtual machine; Virtual reality; Virtualization; Cloud-computing; Commercial software; Datacenter; License optimization; Optimisations; Proprietary solutions; Resource management; Software license; Software services; Virtualizations; Resource allocation","Article","Final","","Scopus","2-s2.0-85128605954"
"Janbi, N.; Mehmood, R.; Katib, I.; Albeshri, A.; Corchado Rodríguez, J.M.; Yigitcanlar, T.","Janbi, Nourah Fahad (57201743503); Mehmood, Rashid Ibrahim (25643246000); Katib, Iyad A. (26534538800); Albeshri, Aiiad Ahmad (36617092600); Corchado Rodríguez, Juan M. (7006360842); Yigitcanlar, Tan (6505536041)","57201743503; 25643246000; 26534538800; 36617092600; 7006360842; 6505536041","Imtidad: A Reference Architecture and a Case Study on Developing Distributed AI Services for Skin Disease Diagnosis over Cloud, Fog and Edge","2022","Sensors","22","5","1854","","","40","10.3390/s22051854","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126324127&doi=10.3390%2Fs22051854&partnerID=40&md5=ea7a99e2317b58f6c53dbecd9fde6e9c","Several factors are motivating the development of preventive, personalized, connected, virtual, and ubiquitous healthcare services. These factors include declining public health, increase in chronic diseases, an ageing population, rising healthcare costs, the need to bring intelligence near the user for privacy, security, performance, and costs reasons, as well as COVID-19. Motivated by these drivers, this paper proposes, implements, and evaluates a reference architecture called Imtidad that provides Distributed Artificial Intelligence (AI) as a Service (DAIaaS) over cloud, fog, and edge using a service catalog case study containing 22 AI skin disease diagnosis services. These services belong to four service classes that are distinguished based on software platforms (containerized gRPC, gRPC, Android, and Android Nearby) and are executed on a range of hardware platforms (Google Cloud, HP Pavilion Laptop, NVIDIA Jetson nano, Raspberry Pi Model B, Samsung Galaxy S9, and Samsung Galaxy Note 4) and four network types (Fiber, Cellular, Wi-Fi, and Bluetooth). The AI models for the diagnosis include two standard Deep Neural Networks and two Tiny AI deep models to enable their execution at the edge, trained and tested using 10,015 real-life dermatoscopic images. The services are evaluated using several benchmarks including model service value, response time, energy consumption, and network transfer time. A DL service on a local smartphone provides the best service in terms of both energy and speed, followed by a Raspberry Pi edge device and a laptop in fog. The services are designed to enable different use cases, such as patient diagnosis at home or sending diagnosis requests to travelling medical professionals through a fog device or cloud. This is the pioneering work that provides a reference architecture and such a detailed implementation and treatment of DAIaaS services, and is also expected to have an extensive impact on developing smart distributed service infrastructures for healthcare and other sectors. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","Cloud computing; Distributed AI as a service (DAIaaS); Edge computing; Fog computing; Healthcare; Reference architecture; Skin disease diagnosis; Smart cities; Smart healthcare; Smart societies; TensorFlow; Tiny AI; Tiny ML","Computer architecture; Deep neural networks; Drones; Edge computing; Energy utilization; Fog; mHealth; Mobile security; Network architecture; Smart city; Smartphones; Wi-Fi; Cloud-computing; Disease diagnosis; Distributed Artificial Intelligence; Distributed artificial intelligence as a service; Reference architecture; Skin disease; Skin disease diagnose; Smart healthcare; Smart society; Tensorflow; Tiny artificial intelligence; Tiny ML; Fog computing; artificial intelligence; human; skin disease; software; Artificial Intelligence; COVID-19; Humans; SARS-CoV-2; Skin Diseases; Software","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85126324127"
"Alhindi, A.; Djemame, K.; Banaie, F.B.","Alhindi, Abdulaziz (58153549700); Djemame, Karim (6601958964); Banaie, Fatemeh (55655107300)","58153549700; 6601958964; 55655107300","On the Power Consumption of Serverless Functions: An Evaluation of OpenFaaS","2022","","","","","366","371","13","10.1109/UCC56403.2022.00064","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150679165&doi=10.1109%2FUCC56403.2022.00064&partnerID=40&md5=f601604ceae2ebefa1dd6a5bf21e9207","The rapid growth in cloud-based technologies has introduced the need for very large data centres to meet the increasing demand for cloud services. One of the main challenges in managing these data centres is the sharp increase of power consumption. Research has therefore tackled the issue of power/energy efficiency in cloud data centres. Serverless computing is a cloud computing execution model that gives software developers the option to deploy their code without the need to configure servers, operating systems or runtime libraries, thus allowing them to invest less effort and capital in infrastructure management. This paper investigates whether serverless computing has the ability to support power efficiency. To this aim, a number of experiments are conducted to compare the power consumption of a serverless platform, OpenFaaS, against Docker containers with the consideration of applications and benchmarks. The experimental results show that OpenFaaS is more power efficient than Docker when the processor and memory are under stress. © 2022 IEEE.","Container; Docker; OpenFaaS; Power Consumption; Power Efficiency; Serverless","Benchmarking; Containers; Energy efficiency; Green computing; Cloud services; Cloud-based; Datacenter; Docker; Openfaas; Power-efficiency; Rapid growth; Serverless; Sharp increase; Very large datum; Electric power utilization","Conference paper","Final","","Scopus","2-s2.0-85150679165"
"Touloupou, M.; Kapassa, E.; Rizou, S.","Touloupou, Marios (57202604831); Kapassa, Evgenia (57201027060); Rizou, Stamatia (34977594700)","57202604831; 57201027060; 34977594700","Cloud Orchestration for Optimized Computing Efficiency: The Case of Wind Resource Modelling","2022","","","","","79","84","1","10.1109/CloudNet55617.2022.9978809","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146109929&doi=10.1109%2FCloudNet55617.2022.9978809&partnerID=40&md5=5c81700e3b3d0d7478dd67af08d699dc","The Weather Research and Forecasting (WRF) model is a multi-purpose open source weather model, which is widely used by the wind energy community. However, the state of the art applications that use the WRF model for wind resources do not always meet the sector's needs. The fundamental challenge is the massive quantity of data required for accurate modelling, as well as the expenses associated with the computing of such massive volumes of data, implying that state-of-the-art approaches are not appropriate. Our work tackles this issue with the use of a novel orchestration framework relying on cloud computing infrastructure. Cloud computing platforms provide robust infrastructure that allows for the deployment of production-level services as well as extended processing and storage capacity. This paper presents the overall software architecture of a Cloud Orchestration System, enabling the dynamic and flexible cloud deployment of containerized wind resource model chains. Moreover, a set of performance, functional and operational criteria are presented and evaluated, using a real use case of a wind resource model. © 2022 IEEE.","cloud; computing efficiency; optimal deployment; orchestration; wind resources","Cloud computing; Digital storage; Open source software; Weather forecasting; Computing efficiency; Multi-purpose; Open-source; Optimal deployment; Orchestration; Resource modelling; State of the art; Weather modeling; Weather research and forecasting models; Wind resources; Wind power","Conference paper","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85146109929"
"Saboor, A.; Mahmood, A.K.; Omar, A.H.; Hassan, M.F.; Shah, S.N.M.; Ahmadian, A.","Saboor, Abdul (23986039400); Mahmood, Ahmad Kamil (24344688000); Omar, Abdullah Hisam (56446319700); Hassan, Mohd Fadzil (55372860500); Shah, Syed Nasir Mehmood (57213233304); Ahmadian, Ali (59760609700)","23986039400; 24344688000; 56446319700; 55372860500; 57213233304; 59760609700","Enabling rank-based distribution of microservices among containers for green cloud computing environment","2022","Peer-to-Peer Networking and Applications","15","1","","77","91","21","10.1007/s12083-021-01218-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112841408&doi=10.1007%2Fs12083-021-01218-y&partnerID=40&md5=68fc8139a7dfb8ccf92ff4ee0b97cf69","Microservices architecture is a functional software design methodology that promises the redefinition of the architectural style that aims to create a single application as a suite of tiny, loosely coupled services or components, each performing its own tasks and interacting with each other. The cloud services widely shifted from monoliths to microservices and gained the popularity for use in scalable cloud application. The usage of microservices involved intensive network communication to call number of interdependent microservices running inside the cloud nodes. It provides flexibility in the delivery of service but also increases energy usage and poor service efficiency which results in increased carbon emissions. To solve these issues, the prevailing technologies were designed for single unit monolithic cloud applications, and not tailored for the chain oriented service delivery. This study addresses the dynamic provisioning of containers and respective microservices in cloud computing environment by building rank-based profiles and using those profiles for allocation of web application’s microservices along with containers to the cloud data centers. The MicroRanker service is proposed to rank all of the participating microservices and distribute them across different nodes even before the execution of the cloud services. Further, the MicroRanker service is utilized to dynamically update the container placement due to continuous DevOps actions. The proposed solution was tested using custom built simulation environment. The achieved results showed that the distribution of containers along with respective microservices in accordance with MicroRanker service resulted in less energy consumption (i.e. between 81.6 kWh-87.7 kWh compared to 88.9 kWh-95.7 kWh) and significantly lowered the emission of carbon (i.e. between 5.92 kg-33.31 kg compared to 17.2 kg-47.35 kg) due to higher utilization of renewable energy. The use of rank-based microservices distribution also decreased response time (i.e. between 29 ms-142 ms compared to 106 ms-217 ms) due to the availability of the container along with microservice within the same data center region. © 2021, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.","Cloud computing; Containers; High performance computing; Microservices; Optimization; Ranking","Application programs; Carbon; Cloud computing; Containers; Energy utilization; Software design; Web services; Architectural style; Cloud computing environments; Cloud data centers; Dynamic provisioning; Network communications; Renewable energies; Simulation environment; Software design methodologies; Green computing","Article","Final","","Scopus","2-s2.0-85112841408"
"Hanussek, M.; Bartusch, F.; Ger, J.K.","Hanussek, Maximilian (57208688350); Bartusch, Felix (57208688180); Ger, Jens Kru (57226338974)","57208688350; 57208688180; 57226338974","Performance and scaling behavior of bioinformatic applications in virtualization environments to create awareness for the efficient use of compute resources","2021","PLOS Computational Biology","17","7","e1009244","","","10","10.1371/journal.pcbi.1009244","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111226775&doi=10.1371%2Fjournal.pcbi.1009244&partnerID=40&md5=1bd61bfb401e7d8804efd4b44976fdf0","The large amount of biological data available in the current times, makes it necessary to use tools and applications based on sophisticated and efficient algorithms, developed in the area of bioinformatics. Further, access to high performance computing resources is necessary, to achieve results in reasonable time. To speed up applications and utilize available compute resources as efficient as possible, software developers make use of parallelization mechanisms, like multithreading. Many of the available tools in bioinformatics offer multithreading capabilities, but more compute power is not always helpful. In this study we investigated the behavior of well-known applications in bioinformatics, regarding their performance in the terms of scaling, different virtual environments and different datasets with our benchmarking tool suite BOOTABLE. The tool suite includes the tools BBMap, Bowtie2, BWA, Velvet, IDBA, SPAdes, Clustal Omega, MAFFT, SINA and GROMACS. In addition we added an application using the machine learning framework TensorFlow. Machine learning is not directly part of bioinformatics but applied to many biological problems, especially in the context of medical images (X-ray photographs). The mentioned tools have been analyzed in two different virtual environments, a virtual machine environment based on the OpenStack cloud software and in a Docker environment. The gained performance values were compared to a bare-metal setup and among each other. The study reveals, that the used virtual environments produce an overhead in the range of seven to twenty-five percent compared to the bare-metal environment. The scaling measurements showed, that some of the analyzed tools do not benefit from using larger amounts of computing resources, whereas others showed an almost linear scaling behavior. The findings of this study have been generalized as far as possible and should help users to find the best amount of resources for their analysis. Further, the results provide valuable information for resource providers to handle their resources as efficiently as possible and raise the user community's awareness of the efficient usage of computing resources. Copyright: © 2021 Hanussek et al.","","Application programs; Benchmarking; Bioinformatics; Machine learning; Medical imaging; Network security; Virtual machine; Virtualization; Bare metals; Bioinformatics applications; Compute resources; Computing resource; Large amounts; Machine-learning; Performance; Scaling behaviours; Scalings; Toolsuite; Virtual reality; article; awareness; benchmarking; bioinformatics; human; machine learning; photography; shipyard worker; software; X ray; algorithm; biology; cloud computing; computer; computer analysis; computer assisted diagnosis; computer interface; factual database; high throughput sequencing; procedures; sequence alignment; statistical analysis; Algorithms; Cloud Computing; Computational Biology; Computers; Computing Methodologies; Data Interpretation, Statistical; Databases, Factual; High-Throughput Nucleotide Sequencing; Humans; Image Interpretation, Computer-Assisted; Machine Learning; Sequence Alignment; Software; User-Computer Interface","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85111226775"
"Nasrin, S.; Sahryer, T.I.M.F.; Islam, A.B.M.A.; Noor, J.","Nasrin, Sabiha (57460901400); Sahryer, T. I.M.Fahim (57461753700); Islam, Arnob B.M.Alim Al (57203124719); Noor, Jannatun (57193917145)","57460901400; 57461753700; 57203124719; 57193917145","Feature and Performance Based Comparative Study on Serverless Frameworks","2021","","","","","","","2","10.1109/ICCIT54785.2021.9689779","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125017909&doi=10.1109%2FICCIT54785.2021.9689779&partnerID=40&md5=054cf3f0c6307cf011efed82b6a6f151","We conduct experiments on the different public clouds provided in this paper to bring out a comparative study, to help the developers understand the diversity of the platforms. This study will help them choose a suitable platform for their desired application. The contemporary and future usage of this diverse nature of cloud computing is hugely demanding. Thus, we elaborate our study on serverless cloud computing to suffice the demand. Serverless prevents a great deal of unessential consumption of power and is a pay-as-you-go service. This technology has added a great impact on software and application development. Although the major obstacle to this development field is that there is not enough documentation on how the big companies provide this facility and how their architecture is built. The comparative study on this diverse platform is missing in the literature. Therefore, our research is based on the on-demand serverless use cases and comparative study with necessary measures. This can be effective and efficient to use for further serverless implementation. Hence, we and others can follow our research for understanding the technical complexity. © 2021 IEEE.","AWS; Azure; features; Fission; GCP; Kubernetes; Serverless","Application programs; AWS; Azure; Cloud-computing; Comparatives studies; Feature; Feature-based; Fission; GCP; Kubernetes; Serverless; Cloud computing","Conference paper","Final","","Scopus","2-s2.0-85125017909"
"Ara, G.; Lai, L.; Cucinotta, T.; Abeni, L.; Vitucci, C.","Ara, Gabriele (57212493882); Lai, Leonardo (57216224464); Cucinotta, Tommaso (6506625665); Abeni, Luca (55922066400); Vitucci, Carlo (57194946547)","57212493882; 57216224464; 6506625665; 55922066400; 57194946547","A Framework for Comparative Evaluation of High-Performance Virtualized Networking Mechanisms","2021","Communications in Computer and Information Science","1399 CCIS","","","59","83","5","10.1007/978-3-030-72369-9_3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104764763&doi=10.1007%2F978-3-030-72369-9_3&partnerID=40&md5=596cff4ef80e3bc2c03828d3dfddbad3","This paper presents an extension to a software framework designed to evaluate the efficiency of different software and hardware-accelerated virtual switches, each commonly adopted on Linux to provide virtual network connectivity to containers in high-performance scenarios, like in Network Function Virtualization (NFV). We present results from the use of our tools, showing the performance of multiple high-performance networking frameworks on a specific platform, comparing the collected data for various key metrics, namely throughput, latency and scalability, with respect to the required computational power. © 2021, Springer Nature Switzerland AG.","Cloud computing; Containers; DPDK; Kernel bypass; Netmap; NFV","Cloud computing; Computer operating systems; Computer programming; Comparative evaluations; Computational power; High-performance networking; In networks; Networking mechanisms; Software and hardwares; Software frameworks; Virtual networks; Network function virtualization","Conference paper","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85104764763"
"Bystrov, O.; Kačeniauskas, A.; Pacevič, R.; Starikovičius, V.; Maknickas, A.; Stupak, E.; Igumenov, A.","Bystrov, Oleg V. (57221814060); Kačeniauskas, Arnas (35219861700); Pacevič, Ruslan (36114828100); Starikovičius, Vadimas (55918546500); Maknickas, Algirdas Antano (14825473400); Stupak, Eugeniuš (8397192700); Igumenov, Aleksandr (36106706900)","57221814060; 35219861700; 36114828100; 55918546500; 14825473400; 8397192700; 36106706900","Performance evaluation of parallel haemodynamic computations on heterogeneous clouds","2021","Computing and Informatics","39","4","","695","723","7","10.31577/CAI_2020_4_695","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100300256&doi=10.31577%2FCAI_2020_4_695&partnerID=40&md5=71bc1402f8b68a5e5a5c5de51749ae37","The article presents performance evaluation of parallel haemodynamic flow computations on heterogeneous resources of the OpenStack cloud infrastructure. The main focus is on the parallel performance analysis, energy consumption and virtualization overhead of the developed software service based on ANSYS Fluent platform which runs on Docker containers of the private university cloud. The haemodynamic aortic valve flow described by incompressible Navier-Stokes equations is considered as a target application of the hosted cloud infrastructure. The parallel performance of the developed software service is assessed measuring the parallel speedup of computations carried out on virtualized heterogeneous resources. The performance measured on Docker containers is compared with that obtained by using the native hardware. The alternative solution algorithms are explored in terms of the parallel performance and power consumption. The investigation of a trade-off between the computing speed and the consumed energy is performed by using Pareto front analysis and a linear scalarization method. © 2020 Slovak Academy of Sciences. All rights reserved.","Bi-objective optimization problem; Cloud computing; Energy consumption; Haemodynamic flows; Parallel computing; Parallel performance analysis","Containers; Economic and social effects; Navier Stokes equations; Parallel flow; Bi-objective optimisation problems; Cloud infrastructures; Cloud-computing; Energy-consumption; Haemodynamics; Hemodynamic flow; Heterogeneous resources; Parallel com- puting; Parallel performance analysis; Performances evaluation; Energy utilization","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85100300256"
